Sender_account,Receiver_account,Amount,Date,Sender_bank_location,Receiver_bank_location,Payment_type,Laundering_type,alert_type,risk_level
8203229522,8519194353,11276.48,2022-10-07,UK,Pakistan,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",HIGH
4177861783,1316458123,11274.18,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1976727841,8307428288,11266.24,2022-10-07,Mexico,UK,Cross-border,Normal_Mutual,"CROSS BORDER RISK",LOW
1424693007,3338042597,11235.13,2022-10-27,UK,Austria,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
1915450576,3772874052,11173.36,2022-10-07,UK,Turkey,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4121324384,7417210636,11152.40,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4251149720,9263452835,11137.45,2022-12-14,Morocco,UK,Cross-border,Scatter-Gather,"CROSS BORDER RISK",LOW
1915450576,3772874052,11045.68,2022-10-07,UK,Turkey,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4775429005,5994566241,11006.94,2022-11-12,Mexico,UK,Cross-border,Bipartite,"CROSS BORDER RISK",LOW
7352073803,7423781443,10970.74,2022-10-20,UK,Albania,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
5753088795,7892884492,10941.87,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4382775538,5994566241,10919.52,2022-11-05,Switzerland,UK,Cross-border,Bipartite,"CROSS BORDER RISK",LOW
4121324384,8135174919,10813.82,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4121324384,8135174919,10781.30,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4928880336,1082642344,10753.27,2022-10-07,Japan,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
1139132462,7199625988,10753.03,2022-10-07,UAE,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
6611982598,3229111081,10739.80,2022-11-21,UK,Switzerland,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
8957068054,6207125149,10641.60,2022-10-11,UK,France,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
7788310039,5103043844,10634.57,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",HIGH
3239906443,4846475139,10570.85,2022-11-18,UK,Switzerland,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
4767587845,1716691725,10507.62,2022-11-05,UK,India,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8470477504,6370373045,10486.09,2022-12-15,UK,Albania,Cross-border,Gather-Scatter,"CROSS BORDER RISK",HIGH
8197072010,9461146315,10466.66,2022-11-10,UK,Austria,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
3950352859,3338700065,10464.35,2022-11-01,UK,Japan,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",LOW
3953231536,5693138862,10414.18,2022-12-07,Morocco,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
6744599788,5395190531,10362.65,2022-11-27,UK,Pakistan,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",HIGH
2793197858,833496961,10350.43,2022-10-26,UK,France,Cross-border,Gather-Scatter,"CROSS BORDER RISK",LOW
8572039029,1431561040,10280.08,2022-10-07,France,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8572039029,1431561040,10266.88,2022-10-07,France,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
7900125583,4548390037,10257.07,2022-10-08,UK,Turkey,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
4014748430,5004753700,10255.09,2022-10-29,UK,UAE,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8572039029,1431561040,10196.94,2022-10-07,France,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4344759414,2138505015,10179.93,2022-10-07,UK,UAE,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5535491870,1681811645,10150.12,2022-10-07,UK,Turkey,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
4344759414,2138505015,10105.53,2022-10-07,UK,UAE,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8898696157,6646502650,10081.78,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4014748430,6052642343,10074.66,2022-10-19,UK,Germany,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8987848252,4344045246,10024.19,2022-10-07,UK,Switzerland,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
8987848252,4344045246,10011.35,2022-10-07,UK,Switzerland,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
5668411164,6474275633,10004.27,2022-10-13,UK,Spain,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
9599009457,7106391404,9945.27,2022-10-07,UK,Japan,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
7627772980,4455047767,9804.54,2022-10-31,UK,Albania,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",MEDIUM
8456279067,8073790137,9794.00,2022-10-07,UK,Germany,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
5309124465,2534644942,9754.05,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
9599009457,7106391404,9753.24,2022-10-07,UK,Japan,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6097169081,9210556116,9728.91,2022-11-23,UK,Spain,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
8848140810,1204831577,9694.15,2022-10-15,UK,Albania,Cross-border,Deposit-Send,"CROSS BORDER RISK",MEDIUM
188929394,5862848172,9658.21,2022-10-15,UK,France,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
4121324384,3732455271,9627.19,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
5693138862,3571423310,9583.42,2022-12-08,UK,UAE,Cross-border,Cycle,"CROSS BORDER RISK",LOW
128336607,6953672776,9544.33,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5917350547,4563922345,9483.43,2022-11-18,Netherlands,UK,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
4382775538,9921473802,9479.67,2022-11-10,Switzerland,UK,Cross-border,Bipartite,"CROSS BORDER RISK",LOW
9965419082,2458139840,9442.51,2022-12-12,UK,Germany,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
6520893038,6817982468,9417.28,2022-12-15,France,UK,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8600542721,5594825011,9344.68,2022-10-12,UK,Switzerland,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",LOW
5706877708,7892884492,9277.62,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1184607529,6579176482,9237.57,2022-11-09,UK,Germany,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
5706877708,7892884492,9204.78,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5668411164,7242902186,9195.62,2022-12-05,UK,Turkey,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
5706877708,7892884492,9184.01,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
403526894,6873391515,9180.49,2022-10-20,UK,Spain,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",LOW
2603494478,6646502650,9170.73,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4821757624,6215178345,9152.44,2022-11-03,UK,UAE,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
2832385272,2138505015,9139.94,2022-10-07,UK,UAE,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
3243896688,821512934,9130.64,2022-11-22,UK,UAE,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
2601687073,7892884492,9088.05,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
283212952,5103043844,9071.89,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",MEDIUM
4445307770,7892884492,9027.74,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5793273539,3892281356,9012.14,2022-12-13,UK,Austria,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
